zipcode,median_income
ZCTA5 02830,67019
ZCTA5 02831,88163
ZCTA5 02832,76420
ZCTA5 02833,84750
ZCTA5 02835,101448
ZCTA5 02836,78866
ZCTA5 02837,73125
ZCTA5 02838,59960
ZCTA5 02839,56111
ZCTA5 02840,59788
ZCTA5 02841,0
ZCTA5 02842,63725
ZCTA5 02852,80102
ZCTA5 02857,80707
ZCTA5 02858,92036
ZCTA5 02859,69050
ZCTA5 02860,38592
ZCTA5 02861,55198
ZCTA5 02863,28901
ZCTA5 02864,78232
ZCTA5 02865,73306
ZCTA5 02871,86080
ZCTA5 02872,0
ZCTA5 02873,73871
ZCTA5 02874,129056
ZCTA5 02875,98384
ZCTA5 02876,0
ZCTA5 02878,72365
ZCTA5 02879,72947
ZCTA5 02881,66346
ZCTA5 02882,67120
ZCTA5 02885,51909
ZCTA5 02886,67241
ZCTA5 02888,62351
ZCTA5 02889,67868
ZCTA5 02891,60557
ZCTA5 02892,87260
ZCTA5 02893,51332
ZCTA5 02894,97813
ZCTA5 02895,37235
ZCTA5 02896,81712
ZCTA5 02898,81332
ZCTA5 02903,29560
ZCTA5 02904,37287
ZCTA5 02905,40251
ZCTA5 02906,72066
ZCTA5 02907,33361
ZCTA5 02908,42484
ZCTA5 02909,31686
ZCTA5 02910,60620
ZCTA5 02911,57819
ZCTA5 02912,0
ZCTA5 02914,47998
ZCTA5 02915,55580
ZCTA5 02916,65112
ZCTA5 02917,77353
ZCTA5 02919,58295
ZCTA5 02920,51675
ZCTA5 02921,99675
ZCTA5 03031,120176
ZCTA5 03032,110247
ZCTA5 03033,116791
ZCTA5 03034,93681
ZCTA5 03036,117824
ZCTA5 03037,91440
ZCTA5 03038,67473
ZCTA5 03042,71977
ZCTA5 03043,89135
ZCTA5 03044,87965
ZCTA5 03045,81966
ZCTA5 03046,88333
ZCTA5 03047,67222
ZCTA5 03048,66625
ZCTA5 03049,120461
ZCTA5 03051,89029
ZCTA5 03052,91250
ZCTA5 03053,95809
ZCTA5 03054,93798
ZCTA5 03055,71440
ZCTA5 03057,98750
ZCTA5 03060,47642
ZCTA5 03062,87996
ZCTA5 03063,75514
ZCTA5 03064,65699
ZCTA5 03070,102458
ZCTA5 03071,90309
ZCTA5 03076,94167
ZCTA5 03077,62787
ZCTA5 03079,79669
ZCTA5 03082,85234
ZCTA5 03084,78906
ZCTA5 03086,71625
ZCTA5 03087,110268
ZCTA5 03101,30215
ZCTA5 03102,50803
ZCTA5 03103,51544
ZCTA5 03104,61317
ZCTA5 03106,84159
ZCTA5 03109,78284
ZCTA5 03110,126030
ZCTA5 03215,88500
ZCTA5 03216,69830
ZCTA5 03217,44000
ZCTA5 03218,105875
ZCTA5 03220,61587
ZCTA5 03221,61020
ZCTA5 03222,54688
ZCTA5 03223,61150
ZCTA5 03224,82847
ZCTA5 03225,67879
ZCTA5 03226,70625
ZCTA5 03227,66667
ZCTA5 03229,90701
ZCTA5 03230,60980
ZCTA5 03231,0
ZCTA5 03233,123750
ZCTA5 03234,69583
ZCTA5 03235,44597
ZCTA5 03237,72692
ZCTA5 03238,21944
ZCTA5 03240,50682
ZCTA5 03241,57000
ZCTA5 03242,65776
ZCTA5 03243,67917
ZCTA5 03244,61475
ZCTA5 03245,62206
ZCTA5 03246,49016
ZCTA5 03249,63125
ZCTA5 03251,35087
ZCTA5 03253,62500
ZCTA5 03254,70262
ZCTA5 03255,91618
ZCTA5 03256,74728
ZCTA5 03257,72105
ZCTA5 03258,79559
ZCTA5 03259,51625
ZCTA5 03260,88906
ZCTA5 03261,81683
ZCTA5 03262,59375
ZCTA5 03263,49109
ZCTA5 03264,44115
ZCTA5 03266,48466
ZCTA5 03268,67125
ZCTA5 03269,72610
ZCTA5 03273,62188
ZCTA5 03275,65625
ZCTA5 03276,58642
ZCTA5 03278,72943
ZCTA5 03279,45000
ZCTA5 03280,69583
ZCTA5 03281,90421
ZCTA5 03282,62609
ZCTA5 03284,73350
ZCTA5 03285,60417
ZCTA5 03287,60583
ZCTA5 03290,91442
ZCTA5 03291,0
ZCTA5 03293,52750
ZCTA5 03301,56685
ZCTA5 03303,60422
ZCTA5 03304,100978
ZCTA5 03307,72527
ZCTA5 03431,54273
ZCTA5 03440,66780
ZCTA5 03441,69531
ZCTA5 03442,59205
ZCTA5 03443,79273
ZCTA5 03444,70652
ZCTA5 03445,56250
ZCTA5 03446,56985
ZCTA5 03447,52734
ZCTA5 03448,58333
ZCTA5 03449,80625
ZCTA5 03450,61500
ZCTA5 03451,47941
ZCTA5 03452,62800
ZCTA5 03455,50556
ZCTA5 03456,60208
ZCTA5 03457,62969
ZCTA5 03458,68698
ZCTA5 03461,67466
ZCTA5 03462,69432
ZCTA5 03464,71750
ZCTA5 03465,57639
ZCTA5 03466,75525
ZCTA5 03467,90000
ZCTA5 03470,48398
ZCTA5 03561,39568
ZCTA5 03570,38863
ZCTA5 03574,51029
ZCTA5 03575,92000
ZCTA5 03576,47104
ZCTA5 03579,34917
ZCTA5 03580,67708
ZCTA5 03581,54306
ZCTA5 03582,36484
ZCTA5 03583,57143
ZCTA5 03584,52067
ZCTA5 03585,52607
ZCTA5 03586,78750
ZCTA5 03588,52065
ZCTA5 03590,32500
ZCTA5 03592,43073
ZCTA5 03593,71250
ZCTA5 03595,56500
ZCTA5 03597,29559
ZCTA5 03598,43958
ZCTA5 03601,51250
ZCTA5 03602,59891
ZCTA5 03603,50480
ZCTA5 03604,101118
ZCTA5 03605,60441
ZCTA5 03607,58750
ZCTA5 03608,69375
ZCTA5 03609,51094
ZCTA5 03740,54375
ZCTA5 03741,60932
ZCTA5 03743,48008
ZCTA5 03745,75625
ZCTA5 03746,101667
ZCTA5 03748,76801
ZCTA5 03750,175714
ZCTA5 03751,40781
ZCTA5 03752,51029
ZCTA5 03753,93611
ZCTA5 03754,0
ZCTA5 03755,97163
ZCTA5 03765,60045
ZCTA5 03766,61366
ZCTA5 03768,121471
ZCTA5 03770,94000
ZCTA5 03771,61563
ZCTA5 03773,54812
ZCTA5 03774,56708
ZCTA5 03777,76094
ZCTA5 03779,70000
ZCTA5 03780,51125
ZCTA5 03781,83125
ZCTA5 03782,68333
ZCTA5 03784,51220
ZCTA5 03785,42500
ZCTA5 03801,70324
ZCTA5 03809,74395
ZCTA5 03810,82212
ZCTA5 03811,104889
ZCTA5 03812,33333
ZCTA5 03813,58750
ZCTA5 03814,38646
ZCTA5 03816,54036
ZCTA5 03817,21802
ZCTA5 03818,43307
ZCTA5 03819,93500
ZCTA5 03820,63092
ZCTA5 03823,100500
ZCTA5 03824,67241
ZCTA5 03825,79420
ZCTA5 03826,73125
ZCTA5 03827,95294
ZCTA5 03830,49386
ZCTA5 03832,66818
ZCTA5 03833,81563
ZCTA5 03835,52305
ZCTA5 03836,54875
ZCTA5 03837,65586
ZCTA5 03838,70089
ZCTA5 03839,52868
ZCTA5 03840,104111
ZCTA5 03841,97984
ZCTA5 03842,77201
ZCTA5 03844,123864
ZCTA5 03845,69688
ZCTA5 03846,79306
ZCTA5 03847,88243
ZCTA5 03848,81607
ZCTA5 03849,53894
ZCTA5 03850,64286
ZCTA5 03851,65313
ZCTA5 03852,67143
ZCTA5 03853,62717
ZCTA5 03854,114028
ZCTA5 03855,79853
ZCTA5 03856,109875
ZCTA5 03857,64431
ZCTA5 03858,92115
ZCTA5 03860,56199
ZCTA5 03861,105769
ZCTA5 03862,96184
ZCTA5 03864,47857
